R Y M K 
-174.103917 -8.317778 -77.395336 -105.026359 
-159.595257 -7.624630 -104.333211 -62.886676 
-159.595257 -7.624630 -90.517699 -76.702188 
-159.595257 -7.624630 -118.148722 -49.071165 
-159.595257 -7.624630 -90.517699 -76.702188 
-159.595257 -7.624630 -104.333211 -62.886676 
-159.595257 -7.624630 -90.517699 -76.702188 
-159.595257 -7.624630 -131.964234 -35.255653 
-159.595257 -7.624630 -90.517699 -76.702188 
-159.595257 -7.624630 -104.333211 -62.886676 
-159.595257 -7.624630 -90.517699 -76.702188 
-159.595257 -7.624630 -76.702188 -90.517699 
-159.595257 -7.624630 -104.333211 -62.886676 
-87.051958 -4.158889 -73.236447 -17.974401 
-87.051958 -4.158889 -31.789912 -59.420935 
-87.051958 -4.158889 -45.605424 -45.605424 
-87.051958 -4.158889 -59.420935 -31.789912 
-87.051958 -4.158889 -45.605424 -45.605424 
-87.051958 -4.158889 -45.605424 -45.605424 
-87.051958 -4.158889 -59.420935 -31.789912 
-87.051958 -4.158889 -17.974401 -73.236447 
-87.051958 -4.158889 -73.236447 -17.974401 
-87.051958 -4.158889 -31.789912 -59.420935 
-203.121236 -9.704075 -147.859190 -64.966121 
-203.121236 -9.704075 -161.674702 -51.150609 
-203.121236 -9.704075 -120.228167 -92.597144 
-203.121236 -9.704075 -161.674702 -51.150609 
-203.121236 -9.704075 -106.412655 -106.412655 
-275.664535 -13.169815 -178.955954 -109.878396 
-275.664535 -13.169815 -109.878396 -178.955954 
-275.664535 -13.169815 -178.955954 -109.878396 
-275.664535 -13.169815 -151.324931 -137.509419 
-275.664535 -13.169815 -165.140443 -123.693908 
-275.664535 -13.169815 -165.140443 -123.693908 
-275.664535 -13.169815 -165.140443 -123.693908 
-217.629896 -10.397223 -134.736827 -93.290292 
-217.629896 -10.397223 -120.921315 -107.105804 
-217.629896 -10.397223 -148.552338 -79.474780 
-217.629896 -10.397223 -120.921315 -107.105804 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -34.562505 -117.455574 
-145.086597 -6.931482 -89.824551 -62.193528 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -89.824551 -62.193528 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -48.378016 -103.640063 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -117.455574 -34.562505 
-145.086597 -6.931482 -76.009040 -76.009040 
-275.664535 -13.169815 -178.955954 -109.878396 
