R Y M K 
-17.974401 -73.236447 -4.158889 -87.051958 
-31.789912 -59.420935 -4.158889 -87.051958 
-59.420935 -31.789912 -4.158889 -87.051958 
-59.420935 -31.789912 -4.158889 -87.051958 
-31.789912 -59.420935 -4.158889 -87.051958 
-33.176209 -88.438255 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-88.438255 -33.176209 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-46.991720 -74.622743 -5.545185 -116.069278 
-46.991720 -74.622743 -5.545185 -116.069278 
-46.991720 -74.622743 -5.545185 -116.069278 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-77.395336 -105.026359 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-152.711227 -166.526739 -14.556112 -304.681855 
-138.895716 -180.342250 -28.371623 -290.866343 
-166.526739 -152.711227 -14.556112 -304.681855 
-166.526739 -152.711227 -14.556112 -304.681855 
-194.157762 -125.080204 -14.556112 -304.681855 
-152.711227 -166.526739 -14.556112 -304.681855 
-152.711227 -166.526739 -14.556112 -304.681855 
-229.413415 -257.044438 -22.180742 -464.277112 
-229.413415 -257.044438 -22.180742 -464.277112 
-229.413415 -257.044438 -22.180742 -464.277112 
-146.520346 -339.937508 -22.180742 -464.277112 
-229.413415 -257.044438 -22.180742 -464.277112 
-326.121996 -160.335857 -22.180742 -464.277112 
-243.228927 -243.228927 -35.996253 -450.461600 
-229.413415 -257.044438 -22.180742 -464.277112 
-136.816271 -136.816271 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-150.631783 -123.000760 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-178.262806 -95.369737 -12.476667 -261.155875 
