R Y M K 
-19.408149 -406.242473 -171.378776 -254.271846 
-19.408149 -406.242473 -212.825311 -212.825311 
-19.408149 -406.242473 -240.456334 -185.194288 
-19.408149 -406.242473 -268.087357 -157.563265 
-19.408149 -406.242473 -212.825311 -212.825311 
-19.408149 -406.242473 -309.533892 -116.116730 
-8.317778 -174.103917 -118.841871 -63.579824 
-8.317778 -174.103917 -63.579824 -118.841871 
-8.317778 -174.103917 -91.210848 -91.210848 
-8.317778 -174.103917 -77.395336 -105.026359 
-8.317778 -174.103917 -91.210848 -91.210848 
-8.317778 -174.103917 -77.395336 -105.026359 
-3.465741 -72.543299 -17.281252 -58.727787 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -58.727787 -17.281252 
-3.465741 -72.543299 -31.096764 -44.912276 
-3.465741 -72.543299 -58.727787 -17.281252 
-3.465741 -72.543299 -58.727787 -17.281252 
-3.465741 -72.543299 -17.281252 -58.727787 
-11.783519 -246.647216 -136.123123 -122.307612 
-11.783519 -246.647216 -149.938635 -108.492100 
-11.783519 -246.647216 -94.676588 -163.754146 
-11.783519 -246.647216 -149.938635 -108.492100 
-11.783519 -246.647216 -122.307612 -136.123123 
-11.783519 -246.647216 -177.569658 -80.861077 
-11.783519 -246.647216 -205.200681 -53.230054 
-11.783519 -246.647216 -177.569658 -80.861077 
-11.783519 -246.647216 -108.492100 -149.938635 
-11.783519 -246.647216 -163.754146 -94.676588 
-11.783519 -246.647216 -163.754146 -94.676588 
-11.783519 -246.647216 -122.307612 -136.123123 
-11.783519 -246.647216 -94.676588 -163.754146 
-11.783519 -246.647216 -136.123123 -122.307612 
-11.783519 -246.647216 -149.938635 -108.492100 
-11.783519 -246.647216 -136.123123 -122.307612 
-11.783519 -246.647216 -108.492100 -149.938635 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -46.991720 -74.622743 
-5.545185 -116.069278 -19.360697 -102.253766 
-5.545185 -116.069278 -46.991720 -74.622743 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -60.807232 -60.807232 
-5.545185 -116.069278 -88.438255 -33.176209 
-5.545185 -116.069278 -74.622743 -46.991720 
-5.545185 -116.069278 -60.807232 -60.807232 
-5.545185 -116.069278 -74.622743 -46.991720 
-13.169815 -275.664535 -151.324931 -137.509419 
-13.169815 -275.664535 -109.878396 -178.955954 
-13.169815 -275.664535 -165.140443 -123.693908 
-13.169815 -275.664535 -109.878396 -178.955954 
-13.169815 -275.664535 -206.586977 -82.247373 
-13.169815 -275.664535 -192.771466 -96.062885 
-13.169815 -275.664535 -123.693908 -165.140443 
-13.169815 -275.664535 -123.693908 -165.140443 
-9.010926 -188.612577 -105.719507 -91.903996 
-9.010926 -188.612577 -78.088484 -119.535019 
-9.010926 -188.612577 -91.903996 -105.719507 
-9.010926 -188.612577 -119.535019 -78.088484 
-9.010926 -188.612577 -78.088484 -119.535019 
